food_type,base_safe_time,temperature_c,humidity_percent,time_since_cooked_min,packaging_type,sun_exposure,quantity_kg,safe_minutes_remaining
noodles,110,25.8,81.5,98,semi_covered,indoor_ac,19.5,0.0
milk_based_dessert,55,38.4,57.8,100,semi_covered,indoor_ac,12.9,0.0
pizza,95,25.2,66.6,12,semi_covered,indoor_no_ac,18.2,41.1
rice_meal,120,28.2,61.3,23,open,outdoor_direct_sun,23.0,21.1
pizza,95,28.4,60.7,87,open,outdoor_shaded,13.0,0.0
samosa_kachori,135,36.0,73.1,143,semi_covered,indoor_no_ac,19.3,0.0
dry_food_roti,180,39.0,54.7,36,sealed,outdoor_shaded,20.8,88.5
rice_meal,120,26.9,36.4,131,sealed,outdoor_shaded,13.5,0.0
salad_cut_fruits,70,34.5,70.3,102,open,indoor_no_ac,12.9,0.0
rice_meal,120,37.2,49.5,145,semi_covered,outdoor_direct_sun,15.9,0.0
dry_food_roti,180,32.0,83.8,71,semi_covered,outdoor_shaded,21.7,25.0
biryani,115,27.9,35.6,26,sealed,outdoor_direct_sun,8.4,49.5
biryani,115,30.4,42.3,65,semi_covered,indoor_ac,22.9,2.2
samosa_kachori,135,36.5,70.7,74,semi_covered,outdoor_direct_sun,23.2,0.0
noodles,110,38.9,64.4,83,sealed,outdoor_shaded,5.4,0.0
milk_based_dessert,55,37.8,42.9,98,sealed,outdoor_direct_sun,4.7,0.0
bread_items,170,28.2,67.6,13,sealed,outdoor_direct_sun,19.2,116.1
paneer_dish,95,40.0,86.0,108,sealed,outdoor_shaded,8.1,0.0
fish_curry,80,33.0,47.4,54,sealed,indoor_no_ac,22.3,0.0
bread_items,170,41.3,66.7,17,sealed,outdoor_shaded,13.1,83.6
dairy_sweets,60,25.8,75.0,11,sealed,indoor_no_ac,13.8,11.6
raw_vegetable_salad,75,40.3,76.8,75,sealed,outdoor_direct_sun,13.9,0.0
chicken_curry,90,30.5,86.0,38,sealed,indoor_no_ac,19.6,0.0
noodles,110,30.3,94.5,75,semi_covered,indoor_no_ac,23.4,0.0
noodles,110,24.6,79.6,132,sealed,outdoor_shaded,5.4,0.0
biryani,115,41.0,73.8,130,open,outdoor_direct_sun,9.3,0.0
fried_rice,125,27.7,75.5,37,open,indoor_ac,10.1,17.8
dairy_sweets,60,28.3,71.4,118,semi_covered,indoor_ac,11.7,0.0
fried_snacks,140,37.9,54.9,61,semi_covered,indoor_no_ac,10.3,23.3
noodles,110,35.3,56.4,80,sealed,outdoor_shaded,16.5,0.0
fish_curry,80,39.5,86.1,146,open,outdoor_shaded,4.3,0.0
bakery_cake,85,33.1,49.3,110,semi_covered,outdoor_direct_sun,9.3,0.0
salad_cut_fruits,70,30.8,86.1,19,sealed,indoor_ac,12.3,7.5
noodles,110,32.1,55.8,130,open,outdoor_direct_sun,18.0,0.0
fried_snacks,140,36.7,41.8,144,sealed,indoor_ac,17.3,0.0
raw_vegetable_salad,75,26.2,63.7,117,semi_covered,indoor_ac,11.8,0.0
dry_food_roti,180,38.9,59.8,137,semi_covered,indoor_ac,9.0,0.0
fried_rice,125,30.7,62.8,101,open,outdoor_direct_sun,20.0,0.0
fish_curry,80,32.3,63.5,58,semi_covered,outdoor_shaded,10.6,0.0
dry_food_roti,180,35.4,86.4,130,open,outdoor_direct_sun,6.1,0.0
samosa_kachori,135,24.2,80.6,146,sealed,outdoor_direct_sun,20.1,0.0
dry_food_roti,180,32.8,40.6,63,open,indoor_no_ac,19.3,41.4
biryani,115,29.4,69.6,82,semi_covered,indoor_no_ac,18.0,0.0
bakery_cake,85,28.7,92.5,121,open,indoor_ac,5.3,0.0
paneer_dish,95,27.5,68.2,117,semi_covered,outdoor_direct_sun,4.7,0.0
biryani,115,41.9,54.5,32,semi_covered,outdoor_shaded,22.8,0.0
bread_items,170,38.8,56.3,19,open,outdoor_direct_sun,11.5,75.0
fried_rice,125,30.7,41.0,31,semi_covered,outdoor_shaded,24.1,44.2
curry_gravy,100,27.8,58.6,18,open,indoor_no_ac,6.9,22.4
dairy_sweets,60,34.9,56.9,6,open,outdoor_direct_sun,12.2,0.0
bakery_cake,85,34.1,88.2,62,semi_covered,outdoor_direct_sun,10.6,0.0
fried_rice,125,28.0,36.5,19,semi_covered,outdoor_direct_sun,18.9,57.8
dal,110,34.5,42.9,63,semi_covered,outdoor_direct_sun,23.5,0.0
milk_based_dessert,55,28.2,89.0,14,open,outdoor_direct_sun,19.7,0.0
biryani,115,37.1,67.1,102,sealed,outdoor_direct_sun,10.2,0.0
milk_based_dessert,55,30.9,57.9,133,open,indoor_ac,17.3,0.0
curry_gravy,100,39.4,94.0,149,open,outdoor_direct_sun,10.7,0.0
dairy_sweets,60,33.7,79.7,143,sealed,indoor_no_ac,21.1,0.0
pasta,105,29.1,68.3,107,sealed,outdoor_shaded,12.7,0.0
noodles,110,24.3,38.9,22,open,outdoor_shaded,3.3,40.9
noodles,110,27.3,62.8,140,semi_covered,outdoor_shaded,24.3,0.0
fried_snacks,140,37.2,87.3,114,open,indoor_ac,9.1,0.0
raw_vegetable_salad,75,28.9,58.7,140,open,outdoor_shaded,20.6,0.0
noodles,110,34.8,63.9,68,open,indoor_ac,16.6,0.0
pasta,105,33.5,36.8,120,open,indoor_ac,10.0,0.0
dry_food_roti,180,24.2,91.5,135,sealed,indoor_ac,10.5,2.7
dry_food_roti,180,26.8,89.0,24,open,outdoor_shaded,4.6,84.3
curry_gravy,100,31.0,86.8,11,semi_covered,outdoor_direct_sun,5.7,32.0
paneer_dish,95,39.3,66.0,98,semi_covered,outdoor_direct_sun,12.9,0.0
chicken_curry,90,40.3,89.4,123,open,outdoor_shaded,12.1,0.0
bread_items,170,36.7,89.4,63,sealed,outdoor_direct_sun,16.9,20.2
bakery_cake,85,41.3,89.8,10,sealed,indoor_ac,21.8,10.5
milk_based_dessert,55,35.4,52.3,47,semi_covered,indoor_ac,13.9,0.0
bread_items,170,36.9,60.1,146,sealed,indoor_no_ac,6.2,0.0
bread_items,170,30.6,93.4,60,open,outdoor_shaded,24.5,0.0
dry_food_roti,180,31.6,83.3,11,semi_covered,indoor_no_ac,13.7,109.2
fried_snacks,140,34.2,85.2,59,open,indoor_ac,14.9,0.0
pizza,95,24.1,42.0,43,sealed,outdoor_shaded,23.7,15.1
dal,110,35.7,51.9,37,open,outdoor_shaded,19.4,0.0
noodles,110,26.1,51.2,145,sealed,outdoor_shaded,10.8,0.0
samosa_kachori,135,25.6,51.9,117,semi_covered,indoor_no_ac,3.2,0.0
chicken_curry,90,29.9,42.5,69,semi_covered,outdoor_direct_sun,20.3,0.0
samosa_kachori,135,24.7,42.9,112,open,outdoor_direct_sun,14.8,0.0
pasta,105,27.8,50.5,32,open,indoor_no_ac,13.2,18.9
salad_cut_fruits,70,37.5,80.7,96,sealed,indoor_no_ac,11.5,0.0
salad_cut_fruits,70,25.0,55.3,28,sealed,indoor_no_ac,11.2,11.9
bakery_cake,85,29.1,45.3,139,open,outdoor_direct_sun,16.5,0.0
rice_meal,120,24.9,59.1,80,open,outdoor_shaded,6.5,0.0
milk_based_dessert,55,26.4,44.6,147,semi_covered,outdoor_direct_sun,24.8,0.0
fried_snacks,140,40.7,49.9,20,semi_covered,outdoor_direct_sun,3.2,51.9
bakery_cake,85,35.5,61.1,45,open,indoor_no_ac,11.6,0.0
milk_based_dessert,55,41.2,49.5,41,semi_covered,indoor_ac,10.9,0.0
paneer_dish,95,41.1,70.0,33,sealed,indoor_no_ac,15.9,3.8
pasta,105,29.3,44.0,115,semi_covered,indoor_no_ac,5.8,0.0
salad_cut_fruits,70,36.9,76.5,13,sealed,outdoor_shaded,18.8,0.0
milk_based_dessert,55,35.4,44.0,39,semi_covered,outdoor_direct_sun,19.9,0.0
bakery_cake,85,30.1,48.4,143,semi_covered,outdoor_direct_sun,10.8,0.0
milk_based_dessert,55,38.3,88.4,97,semi_covered,indoor_no_ac,23.8,0.0
pizza,95,37.6,72.4,6,open,outdoor_shaded,21.9,0.0
milk_based_dessert,55,35.2,58.3,9,open,outdoor_shaded,10.3,0.0
fried_rice,125,24.4,50.9,118,semi_covered,outdoor_shaded,23.3,0.0
salad_cut_fruits,70,28.0,66.2,65,sealed,indoor_no_ac,22.1,0.0
fried_rice,125,31.7,76.6,22,open,indoor_no_ac,17.2,27.1
dry_food_roti,180,37.6,52.4,19,open,indoor_ac,13.5,89.5
chicken_curry,90,37.5,83.3,5,sealed,outdoor_direct_sun,12.3,1.5
fried_snacks,140,39.2,72.6,137,open,outdoor_direct_sun,20.1,0.0
fried_snacks,140,32.4,86.3,15,open,indoor_ac,10.5,65.2
dal,110,34.4,80.2,53,semi_covered,outdoor_shaded,5.3,0.0
dal,110,27.3,43.8,73,open,outdoor_direct_sun,22.6,0.0
fish_curry,80,39.6,66.9,63,open,indoor_ac,5.9,0.0
samosa_kachori,135,31.9,41.3,89,semi_covered,indoor_ac,7.5,10.6
rice_meal,120,30.9,85.7,148,open,outdoor_shaded,19.9,0.0
pasta,105,31.9,89.9,84,semi_covered,outdoor_direct_sun,6.6,0.0
pasta,105,27.2,50.5,78,semi_covered,indoor_ac,12.7,0.0
fried_rice,125,32.5,85.4,135,sealed,indoor_no_ac,6.9,0.0
pasta,105,25.6,68.7,115,open,indoor_ac,6.2,0.0
dal,110,30.7,50.1,67,sealed,indoor_no_ac,4.8,11.6
fried_rice,125,38.7,51.2,16,sealed,outdoor_shaded,11.9,50.4
bread_items,170,33.1,70.1,51,sealed,outdoor_shaded,11.3,52.0
chicken_curry,90,36.6,40.8,70,open,indoor_no_ac,21.4,0.0
paneer_dish,95,32.8,42.5,71,open,outdoor_shaded,8.0,0.0
pizza,95,24.7,43.3,38,semi_covered,outdoor_shaded,23.8,9.9
biryani,115,38.8,39.1,22,semi_covered,indoor_no_ac,9.3,53.1
bakery_cake,85,27.6,39.8,65,open,indoor_ac,22.5,0.0
samosa_kachori,135,35.6,65.1,29,semi_covered,indoor_ac,21.4,47.5
dal,110,35.1,76.3,10,sealed,outdoor_shaded,17.9,35.8
salad_cut_fruits,70,31.0,53.3,123,open,indoor_no_ac,15.6,0.0
biryani,115,29.5,52.9,85,sealed,indoor_ac,16.7,0.4
dairy_sweets,60,39.6,64.4,65,sealed,outdoor_direct_sun,22.2,0.0
raw_vegetable_salad,75,34.7,45.3,142,semi_covered,indoor_no_ac,23.1,0.0
bread_items,170,38.4,62.7,115,semi_covered,indoor_ac,17.1,4.4
bakery_cake,85,26.1,59.1,150,open,indoor_no_ac,16.3,0.0
raw_vegetable_salad,75,36.4,49.3,24,open,indoor_no_ac,9.3,0.0
biryani,115,31.9,68.0,80,open,outdoor_direct_sun,5.2,0.0
pasta,105,41.4,88.2,139,open,indoor_no_ac,21.0,0.0
curry_gravy,100,32.5,36.3,21,open,outdoor_shaded,15.9,9.7
milk_based_dessert,55,40.5,60.5,37,sealed,outdoor_direct_sun,13.9,0.0
rice_meal,120,30.8,66.7,126,semi_covered,indoor_ac,15.7,0.0
bread_items,170,27.4,91.0,62,open,indoor_ac,14.8,44.3
noodles,110,40.6,35.4,146,open,outdoor_direct_sun,11.2,0.0
paneer_dish,95,31.0,87.0,64,sealed,indoor_no_ac,5.6,0.0
chicken_curry,90,38.1,77.0,99,semi_covered,indoor_ac,14.3,0.0
paneer_dish,95,32.7,79.5,47,sealed,indoor_ac,21.1,10.2
samosa_kachori,135,35.1,92.0,60,open,outdoor_direct_sun,14.5,0.0
noodles,110,40.3,54.8,69,open,outdoor_shaded,10.4,0.0
dry_food_roti,180,38.1,84.7,63,sealed,outdoor_shaded,16.2,52.0
bakery_cake,85,40.6,67.0,42,sealed,indoor_ac,24.7,0.0
samosa_kachori,135,35.6,93.8,113,semi_covered,outdoor_shaded,14.6,0.0
fried_rice,125,39.6,73.5,43,semi_covered,indoor_no_ac,6.6,13.9
dry_food_roti,180,27.3,63.2,23,open,outdoor_direct_sun,3.4,76.8
rice_meal,120,33.5,66.9,83,open,indoor_ac,9.2,0.0
fried_rice,125,24.1,50.0,132,open,outdoor_shaded,18.3,0.0
rice_meal,120,36.8,48.2,78,semi_covered,outdoor_direct_sun,19.1,0.0
bakery_cake,85,41.9,85.7,120,open,outdoor_direct_sun,16.5,0.0
paneer_dish,95,37.4,38.8,92,semi_covered,indoor_ac,15.9,0.0
dairy_sweets,60,37.9,51.9,49,sealed,indoor_ac,15.6,0.0
paneer_dish,95,29.3,92.4,51,sealed,indoor_no_ac,16.7,0.0
samosa_kachori,135,24.3,35.8,90,open,indoor_no_ac,18.2,0.0
paneer_dish,95,26.5,55.2,46,sealed,indoor_no_ac,22.3,26.7
samosa_kachori,135,39.6,55.0,7,sealed,indoor_ac,6.2,83.8
biryani,115,24.0,54.3,127,semi_covered,indoor_no_ac,3.6,0.0
noodles,110,27.6,61.6,106,sealed,indoor_ac,8.6,0.0
noodles,110,25.7,86.0,29,sealed,indoor_ac,13.5,39.4
paneer_dish,95,35.5,73.6,59,semi_covered,indoor_no_ac,12.8,0.0
bread_items,170,41.4,50.3,84,semi_covered,outdoor_shaded,3.9,31.2
noodles,110,36.3,52.4,130,open,outdoor_shaded,10.7,0.0
salad_cut_fruits,70,32.8,40.1,22,open,indoor_ac,13.2,0.0
milk_based_dessert,55,27.3,39.7,19,open,indoor_ac,20.8,0.0
fried_snacks,140,38.4,86.5,8,semi_covered,indoor_no_ac,21.6,39.5
milk_based_dessert,55,42.0,78.6,122,sealed,outdoor_shaded,13.8,0.0
samosa_kachori,135,30.1,50.3,127,open,outdoor_direct_sun,19.4,0.0
dairy_sweets,60,35.7,80.7,82,sealed,outdoor_direct_sun,20.8,0.0
dry_food_roti,180,38.2,87.4,40,sealed,indoor_ac,19.6,86.0
dry_food_roti,180,41.3,41.9,137,open,outdoor_shaded,25.0,0.0
fried_rice,125,26.8,62.5,110,sealed,indoor_no_ac,3.8,0.0
biryani,115,35.0,89.5,134,open,indoor_ac,15.7,0.0
pasta,105,34.8,48.1,138,sealed,indoor_ac,4.9,0.0
dal,110,25.5,77.7,128,sealed,indoor_ac,23.7,0.0
rice_meal,120,33.3,51.3,136,semi_covered,indoor_no_ac,7.4,0.0
raw_vegetable_salad,75,29.6,65.3,53,open,indoor_no_ac,6.9,0.0
dairy_sweets,60,36.0,73.0,134,semi_covered,outdoor_direct_sun,3.8,0.0
paneer_dish,95,39.4,53.7,101,semi_covered,indoor_no_ac,23.9,0.0
dairy_sweets,60,38.2,83.7,110,sealed,indoor_no_ac,13.7,0.0
pizza,95,37.4,45.0,109,sealed,indoor_no_ac,17.7,0.0
fried_rice,125,28.0,68.6,39,semi_covered,outdoor_shaded,20.7,24.2
rice_meal,120,29.9,77.2,50,sealed,outdoor_shaded,11.3,27.8
fish_curry,80,39.8,71.6,142,semi_covered,outdoor_direct_sun,5.0,0.0
fried_rice,125,41.5,70.8,57,semi_covered,outdoor_direct_sun,5.7,0.0
pasta,105,38.9,84.4,74,semi_covered,outdoor_direct_sun,22.1,0.0
fish_curry,80,31.3,56.3,42,open,indoor_ac,21.4,0.0
curry_gravy,100,31.5,81.3,89,open,outdoor_direct_sun,6.4,0.0
dairy_sweets,60,34.7,43.0,52,open,indoor_ac,22.2,0.0
milk_based_dessert,55,30.4,68.3,54,sealed,outdoor_direct_sun,10.6,0.0
noodles,110,31.8,58.4,29,sealed,indoor_no_ac,17.0,34.8
chicken_curry,90,39.1,50.2,94,semi_covered,indoor_no_ac,23.4,0.0
salad_cut_fruits,70,29.5,39.5,107,semi_covered,indoor_ac,15.8,0.0
samosa_kachori,135,36.3,46.9,30,sealed,outdoor_direct_sun,7.6,67.5
noodles,110,24.1,62.7,147,semi_covered,indoor_no_ac,4.3,0.0
rice_meal,120,36.9,72.0,49,open,indoor_ac,6.4,0.0
paneer_dish,95,28.2,76.7,12,open,outdoor_shaded,12.5,13.5
fried_snacks,140,26.0,67.8,136,sealed,outdoor_shaded,19.9,0.0
rice_meal,120,40.6,65.9,39,semi_covered,indoor_no_ac,16.5,10.1
pasta,105,38.1,75.5,93,semi_covered,outdoor_shaded,22.3,0.0
bread_items,170,35.7,54.6,66,open,indoor_ac,12.6,31.9
raw_vegetable_salad,75,36.8,62.9,118,open,outdoor_shaded,11.5,0.0
dairy_sweets,60,35.3,66.8,129,open,outdoor_direct_sun,5.4,0.0
raw_vegetable_salad,75,35.1,40.5,115,semi_covered,outdoor_shaded,10.5,0.0
raw_vegetable_salad,75,34.5,38.8,43,semi_covered,indoor_no_ac,20.7,0.0
raw_vegetable_salad,75,31.6,77.0,81,semi_covered,outdoor_direct_sun,24.5,0.0
curry_gravy,100,27.4,56.4,94,open,outdoor_shaded,6.4,0.0
curry_gravy,100,30.8,40.4,32,open,outdoor_direct_sun,11.7,0.0
bakery_cake,85,30.2,47.0,89,sealed,indoor_no_ac,20.4,0.0
dal,110,33.8,93.8,8,sealed,outdoor_direct_sun,17.1,29.8
bakery_cake,85,40.9,52.7,40,sealed,outdoor_direct_sun,15.9,0.0
rice_meal,120,28.4,80.9,144,open,outdoor_shaded,21.3,0.0
milk_based_dessert,55,37.3,40.6,35,semi_covered,indoor_ac,3.3,0.0
fish_curry,80,31.5,39.1,78,semi_covered,outdoor_direct_sun,11.2,0.0
dry_food_roti,180,38.6,94.1,130,semi_covered,outdoor_shaded,21.6,0.0
fried_snacks,140,38.4,69.3,20,open,outdoor_direct_sun,6.1,48.5
samosa_kachori,135,33.7,78.9,77,open,indoor_ac,17.5,0.0
raw_vegetable_salad,75,27.5,78.1,74,semi_covered,outdoor_direct_sun,9.2,0.0
paneer_dish,95,25.4,40.7,124,sealed,indoor_ac,3.6,0.0
noodles,110,28.7,85.7,21,open,outdoor_direct_sun,15.7,5.7
pasta,105,39.1,76.5,115,open,outdoor_shaded,14.9,0.0
dal,110,25.7,73.5,30,open,indoor_no_ac,18.6,13.8
rice_meal,120,36.0,77.2,93,semi_covered,indoor_no_ac,7.9,0.0
bread_items,170,37.9,73.3,124,open,outdoor_direct_sun,21.3,0.0
fried_rice,125,40.9,68.1,22,semi_covered,indoor_ac,7.3,45.4
pasta,105,41.2,93.6,72,open,indoor_no_ac,9.3,0.0
salad_cut_fruits,70,34.9,49.9,21,open,indoor_ac,18.4,0.0
milk_based_dessert,55,29.1,86.7,89,open,outdoor_shaded,14.3,0.0
raw_vegetable_salad,75,27.1,68.0,62,sealed,outdoor_direct_sun,14.2,0.0
curry_gravy,100,30.6,37.5,20,sealed,outdoor_shaded,15.0,53.8
bakery_cake,85,33.3,74.3,74,sealed,outdoor_direct_sun,15.2,0.0
rice_meal,120,40.9,60.9,78,sealed,outdoor_shaded,5.8,0.0
pasta,105,36.9,78.3,106,sealed,indoor_no_ac,23.1,0.0
biryani,115,25.5,45.0,110,semi_covered,indoor_no_ac,11.1,0.0
paneer_dish,95,27.5,36.2,93,sealed,indoor_ac,18.9,0.0
biryani,115,28.9,64.5,68,open,outdoor_direct_sun,5.8,0.0
chicken_curry,90,38.4,39.8,35,sealed,outdoor_shaded,8.5,13.2
rice_meal,120,39.4,78.9,77,sealed,outdoor_shaded,5.3,0.0
fried_snacks,140,40.0,38.9,77,sealed,indoor_no_ac,17.3,20.7
curry_gravy,100,37.0,84.4,129,sealed,outdoor_direct_sun,7.9,0.0
fried_snacks,140,35.1,52.5,40,open,indoor_ac,17.9,42.5
salad_cut_fruits,70,37.4,90.2,26,semi_covered,outdoor_shaded,11.7,0.0
curry_gravy,100,38.5,64.9,54,open,indoor_no_ac,22.5,0.0
fried_rice,125,30.6,38.7,82,open,indoor_ac,19.7,0.0
fried_snacks,140,30.0,93.0,28,sealed,outdoor_direct_sun,7.6,30.8
pizza,95,29.5,84.6,78,open,indoor_ac,3.2,0.0
dal,110,25.6,52.9,127,sealed,outdoor_direct_sun,4.7,0.0
salad_cut_fruits,70,39.1,86.6,75,semi_covered,indoor_ac,4.1,0.0
biryani,115,41.1,52.6,36,semi_covered,indoor_ac,6.8,29.1
fish_curry,80,34.7,47.0,32,semi_covered,outdoor_direct_sun,22.5,0.0
rice_meal,120,42.0,68.7,126,open,indoor_no_ac,9.8,0.0
biryani,115,25.2,64.9,101,semi_covered,outdoor_direct_sun,24.9,0.0
pizza,95,31.7,61.1,145,semi_covered,outdoor_direct_sun,13.8,0.0
dairy_sweets,60,36.4,38.2,12,open,outdoor_direct_sun,19.2,0.0
fish_curry,80,33.0,81.3,65,sealed,outdoor_direct_sun,8.5,0.0
fried_rice,125,41.2,61.0,38,open,outdoor_shaded,15.7,0.0
biryani,115,29.3,50.8,27,sealed,outdoor_shaded,11.3,48.6
samosa_kachori,135,38.6,69.2,33,sealed,outdoor_direct_sun,5.3,31.4
fried_rice,125,26.5,80.5,14,open,outdoor_shaded,13.9,37.0
pasta,105,30.9,50.6,10,open,outdoor_direct_sun,12.1,33.3
bread_items,170,38.6,37.4,71,open,outdoor_shaded,7.2,11.4
noodles,110,32.6,69.0,41,sealed,outdoor_direct_sun,13.8,0.0
rice_meal,120,41.7,68.5,11,sealed,indoor_no_ac,11.3,47.0
biryani,115,24.0,47.0,45,semi_covered,indoor_ac,15.1,29.3
milk_based_dessert,55,41.4,79.3,5,open,outdoor_shaded,24.5,0.0
biryani,115,40.4,87.4,123,sealed,outdoor_shaded,3.2,0.0
dry_food_roti,180,25.4,74.6,77,sealed,indoor_no_ac,16.4,62.0
biryani,115,32.4,37.4,118,semi_covered,outdoor_shaded,9.3,0.0
bakery_cake,85,35.6,94.1,30,semi_covered,indoor_ac,15.9,0.0
salad_cut_fruits,70,36.7,84.6,29,semi_covered,outdoor_direct_sun,12.9,0.0
biryani,115,38.6,75.5,85,semi_covered,outdoor_direct_sun,3.5,0.0
samosa_kachori,135,35.4,87.3,143,open,indoor_no_ac,10.0,0.0
salad_cut_fruits,70,30.5,37.7,107,semi_covered,indoor_no_ac,6.2,0.0
salad_cut_fruits,70,38.0,60.7,60,sealed,indoor_no_ac,22.2,0.0
milk_based_dessert,55,32.4,44.0,146,open,indoor_no_ac,4.3,0.0
curry_gravy,100,35.6,38.2,103,semi_covered,indoor_no_ac,21.0,0.0
dry_food_roti,180,37.0,64.5,127,semi_covered,indoor_ac,6.1,4.1
fried_rice,125,40.1,62.1,41,sealed,outdoor_shaded,3.2,31.6
bakery_cake,85,38.5,63.7,43,open,outdoor_shaded,12.3,0.0
rice_meal,120,31.6,45.6,102,semi_covered,outdoor_direct_sun,12.2,0.0
milk_based_dessert,55,25.3,46.9,138,semi_covered,outdoor_direct_sun,5.1,0.0
salad_cut_fruits,70,34.6,71.9,131,open,indoor_no_ac,12.2,0.0
milk_based_dessert,55,37.7,49.7,111,open,outdoor_shaded,18.9,0.0
noodles,110,40.2,72.3,145,semi_covered,outdoor_direct_sun,15.9,0.0
samosa_kachori,135,39.8,47.0,90,sealed,outdoor_direct_sun,12.9,0.0
curry_gravy,100,38.6,87.3,9,semi_covered,indoor_no_ac,4.1,19.0
fish_curry,80,26.7,54.3,31,semi_covered,outdoor_shaded,16.1,0.5
pizza,95,29.5,74.8,105,sealed,indoor_ac,13.7,0.0
fish_curry,80,36.3,36.8,138,semi_covered,indoor_ac,9.2,0.0
paneer_dish,95,29.6,79.0,22,open,outdoor_shaded,15.6,0.0
chicken_curry,90,34.4,82.9,68,sealed,outdoor_direct_sun,7.1,0.0
samosa_kachori,135,39.0,84.3,132,semi_covered,indoor_no_ac,15.7,0.0
dairy_sweets,60,27.8,60.1,13,semi_covered,outdoor_shaded,13.8,0.0
rice_meal,120,25.8,41.0,72,sealed,outdoor_direct_sun,18.4,8.5
bakery_cake,85,33.6,89.6,27,sealed,outdoor_shaded,12.3,5.9
noodles,110,32.6,77.2,120,sealed,outdoor_shaded,8.2,0.0
dry_food_roti,180,25.9,69.3,99,semi_covered,indoor_ac,21.3,32.8
biryani,115,37.0,93.8,27,sealed,outdoor_shaded,11.3,15.6
chicken_curry,90,39.2,35.3,96,semi_covered,indoor_no_ac,10.5,0.0
dairy_sweets,60,31.3,60.9,62,semi_covered,indoor_ac,19.0,0.0
biryani,115,40.0,91.1,52,semi_covered,indoor_no_ac,3.2,0.0
biryani,115,26.6,48.0,5,open,outdoor_shaded,10.5,54.5
pizza,95,26.0,57.9,18,semi_covered,indoor_ac,5.1,46.1
rice_meal,120,34.1,81.0,73,sealed,outdoor_shaded,7.5,0.0
dry_food_roti,180,40.2,83.9,13,open,outdoor_shaded,13.2,60.4
fried_rice,125,35.0,85.5,132,open,outdoor_direct_sun,5.9,0.0
rice_meal,120,37.9,36.3,30,open,indoor_ac,17.5,24.4
curry_gravy,100,34.3,42.9,150,open,indoor_ac,16.7,0.0
dry_food_roti,180,36.6,88.4,81,semi_covered,outdoor_direct_sun,17.7,8.5
